route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
544,,544,ABC Connection - Bayleys Primary School - Holetown ,,3,,,
543,,543,ABC Connection - Holetown to Bayleys Primary School,,3,,,
110,,110,ABC Highway ,,3,,,
111,,111,ABC Highway,,3,,,
68,,68,Airport,,3,,,
547,,547,Airport via Coverley to Speightstown ,,3,,,
124,,124,Airy Hill,,3,,,
106,,106,Bath,,3,,,
107,,107,Bath,,3,,,
126,,126,Bathsheba,,3,,,
22,,22,Bathsheba,,3,,,
125,,125,Bathsheba,,3,,,
102,,102,Bathsheba,,3,,,
33,,33,Bayfield,,3,,,
127,,127,Bayfield,,3,,,
129,,129,Boscobelle,,3,,,
3,,3,Boscobelle,,3,,,
130,,130,Boscobelle,,3,,,
128,,128,Boscobelle,,3,,,
26,,26,Bowmanston,,3,,,
131,,131,Bowmanston,,3,,,
546,,546,Bridgefield to Oistins Via Green Hill ,,3,,,
138,,138,Bridgetown Shuttle,,3,,,
477,,477,Bridgetown to Warrens ,,3,,,
482,,482,Cave Hill/Grazettes,,3,,,
133,,133,Chalky Mount,,3,,,
20,,20,Chalky Mount,,3,,,
496,,496,Church Village,,3,,,
86,,86,Church Village,,3,,,
497,,497,Church Village,,3,,,
48,,48,City Circle,,3,,,
24,,24,Clifton Hall,,3,,,
136,,136,Clifton Hall,,3,,,
137,,137,College Savannah,,3,,,
31,,31,College Savannah,,3,,,
55,,55,College Savannah/Oistins,,3,,,
140,,140,College Savannah/Oistins,,3,,,
6,,6,Connelltown,,3,,,
182,,182,Connelltown,,3,,,
83,,83,Crane,,3,,,
84,,84,Crane,,3,,,
43,,43,Dash Valley,,3,,,
142,,142,Dash Valley,,3,,,
143,,143,Deacon's Road,,3,,,
61,,61,Deacon's Road,,3,,,
9,,9,District 'D',,3,,,
144,,144,District 'D',,3,,,
145,,145,Drax Hall,,3,,,
27,,27,Drax Hall,,3,,,
146,,146,Eden Lodge,,3,,,
57,,57,Eden Lodge/Jackson ,,3,,,
35,,35,Edey Village,,3,,,
147,,147,Edey Village,,3,,,
524,,524,Fairchild Street/Speightstown ,,3,,,
37,,37,Fairy Valley,,3,,,
148,,148,Fairy Valley,,3,,,
28,,28,Flat Rock,,3,,,
149,,149,Flat Rock,,3,,,
562,,562,Gall Hill to Six Roads,,3,,,
557,,557,Grantley Adams School,,3,,,
121,,121,Greens & St. Judes,,3,,,
122,,122,Holders Hill,,3,,,
58,,58,Holders Hill,,3,,,
150,,150,Howells & Ivy,,3,,,
109,,109,Howells & Ivy,,3,,,
152,,152,Indian Ground,,3,,,
151,,151,Indian Ground,,3,,,
2,,2,Indian Ground,,3,,,
123,,123,Indian Ground,,3,,,
4,,4,Indian Ground/Boscobelle,,3,,,
153,,153,Jackson,,3,,,
46,,46,Jackson/Warrens,,3,,,
485,,485,Josey Hill ,,3,,,
486,,486,Josey Hill,,3,,,
156,,156,Josey Hill,,3,,,
480,,480,Josey Hill/Pie Corner,,3,,,
479,,479,Josey Hill/Pie Corner,,3,,,
44,,44,Kendal,,3,,,
157,,157,Kendal,,3,,,
66,,66,Kirtons/Speightstown,,3,,,
532,,532,Long Bay,,3,,,
64,,64,Lowlands,,3,,,
158,,158,Lowlands,,3,,,
