,id,bus-number,name,from,to
0,544,56,ABC Connection - Bayleys Primary School - Holetown , Bayleys Primary School, Holetown
1,543,56,ABC Connection - Holetown to Bayleys Primary School, Holetown, Bayleys Primary School 
2,110,54,ABC Highway , Speightstown Terminal, Oistins
3,111,54,ABC Highway, Oistins, Speightstown Terminal
4,68,27,Airport, Airport, Speightstown Terminal
5,547,54C,Airport via Coverley to Speightstown , Airport, Speightstown Terminal
6,124,5A,Airy Hill, Airy Hill, Fairchild Street Terminal
7,106,7B,Bath, Princess Alice Terminal, Bath
8,107,7B,Bath, Bath, Princess Alice Terminal
9,126,1E,Bathsheba, Bathsheba, Speightstown Terminal
10,22,6,Bathsheba, Fairchild Street Terminal, Bathsheba
11,125,6,Bathsheba, Bathsheba, Fairchild Street Terminal
12,102,1E,Bathsheba, Speightstown Terminal, Bathsheba
13,33,10,Bayfield, Fairchild Street Terminal, Bayfield
14,127,10,Bayfield, Bayfield, Fairchild Street Terminal
15,129,1A,Boscobelle, Speightstown Terminal, Boscobelle
16,3,1A,Boscobelle, Princess Alice Terminal, Boscobelle
17,130,1A,Boscobelle, Boscobelle, Speightstown Terminal
18,128,1A,Boscobelle, Boscobelle, Princess Alice Terminal
19,26,7A,Bowmanston, Fairchild Street Terminal, Bowmanston
20,131,7A,Bowmanston, Bowmanston, Fairchild Street Terminal
21,546,60,Bridgefield to Oistins Via Green Hill , Bridgefield, Oistins
22,138,51,Bridgetown Shuttle, Fairchild Street Terminal, Princess Alice Terminal
23,477,57,Bridgetown to Warrens , Bridgetown, Warrens
24,482,25A,Cave Hill/Grazettes, Cave Hill/Grazettes, Princess Alice Terminal
25,133,5C,Chalky Mount, Chalky Mount, Fairchild Street Terminal
26,20,5C,Chalky Mount, Fairchild Street Terminal, Chalky Mount
27,496,9C,Church Village, Church Village, Fairchild Street Terminal
28,86,9C,Church Village, Church Village, Fairchild Street Terminal
29,497,9C,Church Village, Fairchild Street Terminal, Church Village
30,48,33,City Circle, Princess Alice Terminal, Princess Alice Terminal
31,24,6C,Clifton Hall, Fairchild Street Terminal, Clifton Hall
32,136,6C,Clifton Hall, Clifton Hall, Fairchild Street Terminal
33,137,9,College Savannah, College Savannah, Fairchild Street Terminal
34,31,9,College Savannah, Fairchild Street Terminal, College Savannah
